timestamp,symbol,price,entropy,pressure,nrg,regime,symmetry,slope,ret_3s,ret_8s,ret_21s,ret_55s,ret_89s
1768938939150,LINK,12.27500000,3.2080,-7.2163,21.2261,Oscillatory,1.0000,0.00000973,Some(0.012219959266802907),Some(0.012219959266802907),Some(0.020366598778014496),Some(-0.06109979633400007),Some(-0.07739307535640877)
1768938939150,PENGU,0.00970800,3.3146,2.7316,13.7126,Compression,0.5000,0.00000000,Some(0.015451174289225695),Some(0.005150391429735942),Some(0.0),Some(-0.11330861145447663),Some(-0.1081582200247407)
1768938939150,XPL,0.12291000,3.1529,-46.5188,38.2449,Compression,0.5000,0.00000000,Some(0.0),Some(0.0),Some(0.0),Some(-0.0772923277194565),Some(-0.0772923277194565)
1768938939150,BIO,0.04808950,3.2985,2.5650,13.1724,Compression,0.5000,0.00000000,Some(0.0),Some(0.0),Some(-0.10189334470102711),Some(0.06030422441488123),Some(0.08421796857941727)
1768938939150,CFX,0.07018100,2.2782,23.0836,22.7709,Oscillatory,0.7403,0.00000014,Some(0.014248870777005174),Some(-0.027072854476270287),Some(-0.027072854476270287),Some(-0.07694390219574884),Some(-0.12681494991520764)
1768938939150,MANTA,0.07097000,3.1003,-13.8859,26.3020,Compression,0.6000,0.00000037,Some(0.007045230379020886),Some(0.007045230379020886),Some(0.014090460758061325),Some(-0.02818092151612265),Some(-0.014090460758080878)
1768938939150,0G,0.75558000,3.4596,23.2637,34.6598,Compression,0.5000,0.00000000,Some(0.0),Some(0.0),Some(0.005293946372328544),Some(-0.045660287461278586),Some(-0.03374890812354671)
1768938939150,NEAR,1.51810000,3.1921,14.2557,27.3266,Oscillatory,0.6667,-0.00000389,Some(0.006587181345101705),Some(0.006587181345101705),Some(0.006587181345101705),Some(-0.06587181345101706),Some(-0.10539490152164191)
1768938939150,TAO,236.24500000,3.1908,-2.2242,11.7350,Ballistic,0.1500,-0.00396169,Some(0.004232893817854729),Some(-0.004232893817854729),Some(0.004232893817854729),Some(0.07619208872145732),Some(0.1439183898071811)
1768938939150,SAGA,0.05591000,3.3343,-16.9532,30.2490,Compression,0.5000,0.00000041,Some(0.0),Some(0.0),Some(0.0),Some(-0.06260060812020612),Some(-0.08942944017170709)
1768938939150,kNEIRO,0.11299500,3.5496,8.6388,25.2669,Compression,0.5000,0.00000000,Some(0.004424974556388444),Some(0.004424974556388444),Some(0.004424974556388444),Some(0.004424974556388444),Some(0.008849949112776888)
1768938939150,SYRUP,0.33477000,3.3619,4.1466,17.3038,Compression,0.5000,0.00000000,Some(-0.0014935627445806841),Some(-0.0014935627445806841),Some(0.022403441168561022),Some(-0.14487558622338118),Some(-0.13292708426681862)
